station,valid,lon,lat,tmpf,dwpf,drct,sknt,gust,vsby,alti,wxcodes
CBF,2022-05-13 08:55,-95.7604,41.2611,62.60,55.40,90.00,10.00,,10.00,29.85,
IKV,2022-05-13 08:55,-93.5695,41.6878,64.40,53.60,0.00,0.00,,10.00,29.95,
AIO,2022-05-13 08:55,-95.0465,41.4059,62.60,62.60,140.00,7.00,13.00,10.00,29.89,
CKP,2022-05-13 08:55,-95.5538,42.7304,58.60,54.70,200.00,5.00,,10.00,29.87,
DEH,2022-05-13 08:55,-91.7433,43.2755,75.20,62.60,250.00,9.00,18.00,10.00,29.88,
FXY,2022-05-13 08:55,-93.6237,43.2323,60.80,51.80,0.00,0.00,,10.00,29.87,
OLZ,2022-05-13 08:55,-91.9760,42.6831,71.60,55.40,280.00,14.00,20.00,10.00,29.93,
OOA,2022-05-13 08:55,-92.4919,41.2273,70.50,55.20,310.00,13.00,18.00,10.00,29.97,
RDK,2022-05-13 08:55,-95.2624,41.0106,62.60,59.00,170.00,6.00,,10.00,29.92,
SHL,2022-05-13 08:55,-95.8353,43.2082,60.80,51.80,200.00,10.00,,10.00,29.82,
SDA,2022-05-13 08:55,-95.4112,40.7533,62.60,59.00,130.00,11.00,,10.00,29.92,
SLB,2022-05-13 08:55,-95.2399,42.5972,60.80,55.40,210.00,7.00,,10.00,29.89,
AXA,2022-05-13 08:55,-94.2724,43.0796,62.60,60.80,130.00,8.00,,10.00,29.80,
ADU,2022-05-13 08:55,-94.9204,41.6994,62.60,57.20,140.00,11.00,17.00,10.00,29.86,-RA
CIN,2022-05-13 08:55,-94.7889,42.0444,64.40,57.20,200.00,13.00,,10.00,29.86,
HNR,2022-05-13 08:55,-95.3355,41.5834,62.60,59.00,0.00,0.00,,10.00,29.89,
LRJ,2022-05-13 08:55,-96.1923,42.7754,60.80,53.60,170.00,10.00,,10.00,29.84,
MUT,2022-05-13 08:55,-91.1406,41.3670,73.40,69.80,180.00,5.00,,9.00,29.90,
I75,2022-05-13 08:55,-93.6876,41.0472,64.00,54.70,0.00,0.00,,10.00,29.95,
IFA,2022-05-13 08:55,-93.2651,42.4691,64.20,53.60,270.00,7.00,,10.00,29.93,
MXO,2022-05-13 08:55,-91.1605,42.2204,73.40,71.60,230.00,9.00,,9.00,29.92,
EBS,2022-05-13 08:55,-93.8691,42.4392,60.80,55.40,180.00,8.00,,10.00,29.88,
BNW,2022-05-13 08:55,-93.8486,42.0486,62.60,57.20,140.00,6.00,,10.00,29.93,
CAV,2022-05-13 08:55,-93.7593,42.7430,60.80,59.00,160.00,7.00,,10.00,29.90,
DNS,2022-05-13 08:55,-95.3800,41.9842,62.60,60.80,0.00,0.00,,10.00,29.91,
FFL,2022-05-13 08:55,-91.9834,41.0521,71.60,55.40,310.00,16.00,24.00,10.00,29.96,
TNU,2022-05-13 08:55,-93.0190,41.6701,66.20,53.60,260.00,4.00,,10.00,29.95,
EVM,2022-05-13 08:55,-92.4981,47.4251,55.40,55.40,140.00,4.00,,10.00,29.76,
5H4,2022-05-13 08:55,-99.9317,47.7912,51.80,51.80,150.00,15.00,25.00,10.00,29.30,
96D,2022-05-13 08:55,-97.9028,48.9406,57.20,57.20,120.00,15.00,,5.00,29.41,BR
ANW,2022-05-13 08:55,-99.9930,42.5792,49.50,38.30,250.00,7.00,,10.00,29.88,
AHQ,2022-05-13 08:55,-96.5946,41.2406,60.30,60.30,180.00,5.00,,10.00,29.91,
AUH,2022-05-13 08:55,-97.9946,40.8941,56.80,46.00,300.00,7.00,,10.00,29.93,
PMV,2022-05-13 08:55,-95.9179,40.9502,62.40,56.30,160.00,4.00,,10.00,29.91,
CKN,2022-05-13 08:55,-96.6214,47.8417,59.00,,190.00,19.00,,10.00,29.53,
FBL,2022-05-13 08:55,-93.3108,44.3247,68.00,57.20,210.00,5.00,,10.00,29.84,
FFM,2022-05-13 08:55,-96.1567,46.2844,59.00,55.40,190.00,15.00,,10.00,29.63,
04W,2022-05-13 08:55,-92.8952,46.0229,60.80,60.80,110.00,11.00,,10.00,29.78,
LXL,2022-05-13 08:55,-94.3469,45.9492,62.60,60.80,160.00,11.00,,10.00,29.74,
JKJ,2022-05-13 08:55,-96.6640,46.8393,59.00,53.60,180.00,13.00,,10.00,29.59,
VWU,2022-05-13 08:55,-94.5167,48.1539,60.80,57.20,130.00,7.00,,10.00,29.64,
3N8,2022-05-13 08:55,-95.9281,47.2605,60.00,56.80,190.00,13.00,,10.00,29.60,
GRN,2022-05-13 08:55,-102.1753,42.8060,42.30,37.60,250.00,8.00,,10.00,29.88,
HPT,2022-05-13 08:55,-93.2244,42.7175,62.60,50.00,270.00,7.00,,10.00,29.90,
SXK,2022-05-13 08:55,-96.1614,42.9858,59.00,51.80,180.00,11.00,,10.00,29.83,
TVK,2022-05-13 08:55,-92.8983,40.6832,66.20,53.60,310.00,9.00,,10.00,30.00,
20U,2022-05-13 08:55,-103.9821,46.9252,44.60,44.60,290.00,33.00,40.00,5.00,29.49,-DZ
BWW,2022-05-13 08:55,-103.3007,46.1655,42.80,42.80,280.00,43.00,51.00,10.00,29.48,
9D7,2022-05-13 08:55,-99.2364,48.4800,55.40,,160.00,20.00,26.00,8.00,29.35,
46D,2022-05-13 08:55,-99.1513,47.4511,53.60,50.00,190.00,24.00,31.00,10.00,29.38,
2C8,2022-05-13 08:55,-97.6320,48.7837,57.20,57.20,120.00,11.00,17.00,10.00,29.43,
D50,2022-05-13 08:55,-103.2973,48.9285,46.40,46.40,360.00,17.00,23.00,1.00,29.36,VCTS BR
D57,2022-05-13 08:55,-101.8602,46.8128,48.20,46.40,270.00,30.00,40.00,4.00,29.24,-RA
GAF,2022-05-13 08:55,-97.3709,48.4047,59.00,59.00,140.00,14.00,,10.00,29.45,
GWR,2022-05-13 08:55,-97.6435,46.2187,55.40,55.40,210.00,25.00,34.00,10.00,29.59,
BAC,2022-05-13 08:55,-98.0180,46.9412,53.60,53.60,200.00,24.00,32.00,10.00,29.50,
BWP,2022-05-13 08:55,-96.6074,46.2441,59.00,51.80,210.00,16.00,21.00,10.00,29.62,
BTN,2022-05-13 08:55,-97.7428,45.8150,55.40,50.00,200.00,19.00,26.00,10.00,29.63,
HON,2022-05-13 08:55,-98.2286,44.3852,54.00,45.00,240.00,12.00,20.00,10.00,,
SPF,2022-05-13 08:55,-103.7830,44.4803,46.40,37.40,270.00,22.00,34.00,10.00,29.78,
BVN,2022-05-13 08:55,-98.0558,41.7286,56.80,43.20,300.00,11.00,,10.00,29.92,
BIE,2022-05-13 08:55,-96.7541,40.3013,62.00,58.30,140.00,3.00,,10.00,29.92,
BTA,2022-05-13 08:55,-96.1090,41.4148,61.20,55.60,0.00,0.00,,10.00,29.88,
CQM,2022-05-13 08:55,-92.6894,47.8219,57.20,55.40,140.00,6.00,,10.00,29.72,
DTL,2022-05-13 08:55,-95.8856,46.8252,60.80,55.40,170.00,12.00,19.00,10.00,29.63,
SGS,2022-05-13 08:55,-93.0329,44.8571,70.20,58.00,220.00,8.00,,10.00,29.82,
AFK,2022-05-13 08:55,-95.8657,40.6069,62.40,56.00,120.00,5.00,18.00,10.00,29.90,-DZ
ONL,2022-05-13 08:55,-98.6881,42.4697,55.00,40.00,250.00,13.00,18.00,10.00,29.89,
LCG,2022-05-13 08:55,-96.9814,42.2419,59.40,49.00,240.00,7.00,,10.00,29.86,
GYL,2022-05-13 08:55,-94.0812,44.7560,64.20,58.00,180.00,10.00,,10.00,29.82,
D39,2022-05-13 08:55,-94.9334,45.7066,61.70,60.00,140.00,9.00,15.00,10.00,29.70,
9V9,2022-05-13 08:55,-99.3183,43.7667,50.40,42.00,230.00,6.00,,10.00,29.79,
LXN,2022-05-13 08:55,-99.7759,40.7904,46.00,40.00,280.00,5.00,,10.00,29.99,
TIF,2022-05-13 08:55,-100.5690,41.9622,47.70,38.00,250.00,10.00,,10.00,29.93,
DLH,2022-05-13 08:55,-92.1936,46.8421,49.00,49.00,90.00,20.00,29.00,10.00,29.80,
Y49,2022-05-13 08:55,-94.6453,47.1595,60.00,58.00,140.00,9.00,15.00,10.00,29.66,
PHP,2022-05-13 08:55,-101.6000,44.0500,49.00,40.00,250.00,13.00,,10.00,29.73,
GGI,2022-05-13 08:55,-92.7332,41.7097,69.00,55.20,300.00,7.00,,10.00,29.97,
PEA,2022-05-13 08:55,-92.9431,41.3989,67.00,52.00,300.00,3.00,,10.00,29.97,
TVF,2022-05-13 08:56,-96.1850,48.0657,59.00,57.00,160.00,10.00,18.00,10.00,29.55,
OTG,2022-05-13 08:56,-95.5792,43.6551,62.00,52.00,210.00,11.00,,10.00,29.84,
GPZ,2022-05-13 08:56,-93.5097,47.2111,57.00,57.00,130.00,6.00,,10.00,29.72,
MKT,2022-05-13 08:56,-93.9200,44.2200,64.00,55.00,160.00,6.00,,10.00,29.84,
EAR,2022-05-13 08:56,-99.0068,40.7270,53.00,43.00,300.00,7.00,,10.00,29.97,
JMS,2022-05-13 08:56,-98.6800,46.9300,52.00,46.00,200.00,23.00,33.00,10.00,29.44,
CWI,2022-05-13 08:56,-90.3328,41.8295,72.00,61.00,160.00,10.00,,10.00,29.92,
FOD,2022-05-13 08:56,-94.2032,42.5497,62.00,55.00,130.00,6.00,,10.00,29.86,
DVL,2022-05-13 08:56,-98.9083,48.1146,54.00,50.00,170.00,14.00,,10.00,29.37,
DIK,2022-05-13 08:56,-102.8019,46.7973,45.00,43.00,280.00,32.00,49.00,10.00,29.32,-RA
RDR,2022-05-13 08:56,-97.4012,47.9611,58.50,54.30,180.00,16.00,,10.00,29.46,
OFK,2022-05-13 08:56,-97.4351,41.9855,63.00,41.00,270.00,12.00,,10.00,29.88,
MIB,2022-05-13 08:56,-101.3580,48.4158,54.30,46.00,130.00,22.00,29.00,4.00,29.19,-RA
FRM,2022-05-13 08:56,-94.4156,43.6439,63.00,56.00,170.00,10.00,,10.00,29.80,-RA
GNA,2022-05-13 08:56,-90.3457,47.7453,46.00,44.00,80.00,10.00,,,29.83,
MML,2022-05-13 08:56,-95.8200,44.4500,59.00,51.00,170.00,9.00,,10.00,29.79,
OFF,2022-05-13 08:56,-95.9125,41.1183,63.50,56.00,60.00,3.00,,10.00,29.90,-SHRA
2WX,2022-05-13 08:56,-103.5464,45.6044,46.00,40.00,280.00,39.00,47.00,,29.57,
RCA,2022-05-13 08:56,-103.1036,44.1451,49.60,35.00,310.00,21.00,28.00,10.00,29.72,
D07,2022-05-13 08:56,-102.0200,45.0300,48.00,42.00,260.00,27.00,44.00,,29.63,
FSD,2022-05-13 08:56,-96.7536,43.5769,61.00,47.00,200.00,9.00,,10.00,29.81,
8D3,2022-05-13 08:56,-96.9914,45.6689,59.00,47.00,220.00,21.00,32.00,,29.65,
OLU,2022-05-13 08:56,-97.3426,41.4480,65.00,40.00,280.00,13.00,,10.00,29.90,
RYM,2022-05-13 08:56,-94.3575,46.0895,63.00,60.00,160.00,12.00,,10.00,29.72,
YKN,2022-05-13 08:56,-97.3859,42.9167,62.00,44.00,240.00,12.00,,10.00,29.85,
1HW,2022-05-13 08:58,-102.8289,41.3251,39.60,27.10,240.00,10.00,,10.00,29.96,
1CW,2022-05-13 08:58,-103.6706,41.5900,46.40,19.60,270.00,12.00,,10.00,29.96,
1BW,2022-05-13 08:58,-103.9950,41.5117,44.00,18.10,290.00,19.00,,10.00,29.98,
PNM,2022-05-13 09:15,-93.6082,45.5599,64.40,62.60,160.00,9.00,,10.00,29.80,
FSE,2022-05-13 09:15,-95.7735,47.5928,60.80,53.60,180.00,17.00,,10.00,29.59,
SYN,2022-05-13 09:15,-93.0145,44.4736,67.50,57.60,0.00,0.00,,10.00,29.83,
ORB,2022-05-13 09:33,-92.8560,48.0159,57.20,55.40,150.00,8.00,,10.00,29.70,
EVM,2022-05-13 09:35,-92.4981,47.4251,55.40,55.40,130.00,10.00,15.00,10.00,29.77,
XWA,2022-05-13 09:51,-103.7505,48.2597,45.00,44.00,340.00,27.00,36.00,4.00,29.35,RA BR
N60,2022-05-13 09:52,-101.4394,47.6458,50.00,48.00,150.00,3.00,,,29.13,
VTN,2022-05-13 09:52,-100.5489,42.8567,50.00,39.00,240.00,12.00,23.00,10.00,29.87,
CID,2022-05-13 09:52,-91.7246,41.8829,67.00,54.00,310.00,12.00,,10.00,29.94,
BIS,2022-05-13 09:52,-100.7458,46.7727,52.00,46.00,220.00,21.00,35.00,10.00,29.32,
MBG,2022-05-13 09:52,-100.4078,45.5464,54.00,43.00,250.00,19.00,32.00,10.00,29.56,
IOW,2022-05-13 09:52,-91.5445,41.6394,73.00,51.00,310.00,12.00,19.00,10.00,29.95,
OMA,2022-05-13 09:52,-95.8992,41.3103,64.00,56.00,170.00,3.00,,10.00,29.90,
EST,2022-05-13 09:52,-94.7476,43.4008,64.00,51.00,230.00,13.00,,10.00,29.82,
SUX,2022-05-13 09:52,-96.3795,42.3917,59.00,53.00,150.00,9.00,,10.00,29.89,
DVN,2022-05-13 09:52,-90.5948,41.6133,75.00,56.00,200.00,12.00,,10.00,29.94,
RAP,2022-05-13 09:52,-103.0574,44.0453,50.00,35.00,260.00,17.00,25.00,10.00,29.78,
IEN,2022-05-13 09:52,-102.5110,43.0225,42.00,38.00,240.00,9.00,,10.00,29.89,
STC,2022-05-13 09:53,-94.0513,45.5433,64.00,60.00,150.00,9.00,,10.00,29.72,
CDD,2022-05-13 09:53,-92.4830,48.2660,51.80,51.80,0.00,0.00,,2.00,29.74,BR
IML,2022-05-13 09:53,-101.6201,40.5103,47.00,36.00,180.00,3.00,,10.00,30.03,
MCW,2022-05-13 09:53,-93.3261,43.1544,60.00,50.00,130.00,8.00,,10.00,29.86,
AXN,2022-05-13 09:53,-95.3947,45.8663,60.00,54.00,200.00,14.00,23.00,10.00,,
BRD,2022-05-13 09:53,-94.1308,46.4047,65.00,59.00,160.00,14.00,28.00,10.00,,
HSI,2022-05-13 09:53,-98.4279,40.6052,51.00,46.00,300.00,7.00,,10.00,29.96,
OWA,2022-05-13 09:53,-93.2606,44.1233,64.40,57.20,110.00,4.00,,10.00,29.82,
STP,2022-05-13 09:53,-93.0600,44.9345,69.00,57.00,200.00,8.00,,10.00,29.82,
AQP,2022-05-13 09:53,-96.0043,45.2275,60.80,51.80,200.00,10.00,14.00,10.00,29.75,
FOZ,2022-05-13 09:53,-93.6502,47.7828,60.80,57.20,150.00,8.00,14.00,10.00,29.75,
XVG,2022-05-13 09:53,-94.2039,46.9900,59.00,57.20,140.00,9.00,,10.00,29.68,
AMW,2022-05-13 09:53,-93.6185,41.9904,60.00,55.00,150.00,6.00,,10.00,29.91,
BRL,2022-05-13 09:53,-91.1255,40.7729,73.00,66.00,260.00,7.00,,9.00,29.95,
LWD,2022-05-13 09:53,-93.9005,40.6306,62.00,54.00,60.00,4.00,,10.00,29.95,
MIW,2022-05-13 09:53,-92.9163,42.1106,60.00,52.00,130.00,4.00,,10.00,29.92,
OTM,2022-05-13 09:53,-92.4446,41.1008,65.00,54.00,330.00,8.00,,10.00,29.95,
SPW,2022-05-13 09:53,-95.2101,43.1682,61.00,52.00,210.00,10.00,,10.00,29.84,
LBF,2022-05-13 09:53,-100.6690,41.1219,46.00,37.00,210.00,6.00,,10.00,29.99,
AIA,2022-05-13 09:53,-102.8000,42.0572,36.00,30.00,250.00,5.00,,10.00,29.95,
ORB,2022-05-13 09:53,-92.8560,48.0159,57.20,55.40,150.00,8.00,,10.00,29.69,
DVP,2022-05-13 09:53,-95.7826,43.9868,56.70,50.20,210.00,7.00,,10.00,29.82,
MSP,2022-05-13 09:53,-93.2313,44.8854,68.00,57.00,210.00,6.00,,10.00,29.82,
HEI,2022-05-13 09:53,-102.6560,46.0149,44.00,39.00,260.00,32.00,49.00,10.00,29.53,
ABR,2022-05-13 09:53,-98.4200,45.4500,51.00,45.00,210.00,20.00,36.00,10.00,29.67,
CUT,2022-05-13 09:53,-103.6114,43.7331,39.00,32.00,260.00,21.00,31.00,10.00,29.79,
MHE,2022-05-13 09:53,-98.0386,43.7748,55.00,45.00,240.00,7.00,,10.00,29.82,
ATY,2022-05-13 09:53,-97.1547,44.9140,53.00,45.00,240.00,20.00,30.00,10.00,29.77,
BBW,2022-05-13 09:53,-99.6385,41.4365,43.00,37.00,0.00,0.00,,10.00,29.96,
DBQ,2022-05-13 09:53,-90.7091,42.3984,72.00,67.00,210.00,8.00,,8.00,29.94,
MCK,2022-05-13 09:53,-100.5921,40.2063,45.00,35.00,290.00,7.00,,10.00,30.00,
BDE,2022-05-13 09:53,-94.6122,48.7284,59.00,56.00,130.00,13.00,22.00,10.00,29.62,
HIB,2022-05-13 09:53,-92.8390,47.3866,54.00,53.00,130.00,11.00,,10.00,29.76,
FCM,2022-05-13 09:53,-93.4607,44.8261,66.00,56.00,,3.00,,10.00,29.76,-RA
PKD,2022-05-13 09:53,-95.0700,46.9000,63.00,58.00,190.00,15.00,27.00,10.00,29.69,
ODX,2022-05-13 09:53,-98.9517,41.6236,50.00,40.00,250.00,7.00,,10.00,29.94,
GRI,2022-05-13 09:53,-98.3096,40.9675,54.00,44.00,270.00,6.00,,10.00,29.95,
FAR,2022-05-13 09:53,-96.8111,46.9253,57.00,49.00,190.00,26.00,32.00,10.00,29.59,
GFK,2022-05-13 09:53,-97.1761,47.9492,57.00,51.00,180.00,18.00,29.00,10.00,29.49,
PIR,2022-05-13 09:53,-100.2860,44.3827,52.00,40.00,260.00,19.00,26.00,10.00,29.70,
ICR,2022-05-13 09:53,-99.8422,43.3903,50.00,40.00,170.00,11.00,,10.00,29.83,
CDR,2022-05-13 09:53,-103.0954,42.8376,40.00,35.00,220.00,6.00,,10.00,29.90,
FNB,2022-05-13 09:53,-95.5920,40.0788,62.00,58.00,170.00,9.00,,10.00,29.89,
RWF,2022-05-13 09:53,-95.0820,44.5469,60.00,53.00,210.00,8.00,,10.00,29.79,
MIC,2022-05-13 09:53,-93.3511,45.0622,67.00,58.00,200.00,7.00,,10.00,29.80,
SNY,2022-05-13 09:53,-102.9847,41.1014,40.00,24.10,260.00,8.00,,10.00,30.01,
BFF,2022-05-13 09:53,-103.5956,41.8740,49.00,24.10,270.00,13.00,20.00,10.00,29.95,
LNK,2022-05-13 09:54,-96.7633,40.8312,60.00,57.00,0.00,0.00,,10.00,29.92,
RST,2022-05-13 09:54,-92.4916,43.9041,65.00,54.00,240.00,6.00,,10.00,29.89,
MOT,2022-05-13 09:54,-101.2803,48.2594,53.00,50.00,100.00,15.00,,10.00,29.15,
DSM,2022-05-13 09:54,-93.6531,41.5339,63.00,53.00,160.00,7.00,,10.00,29.93,
ALO,2022-05-13 09:54,-92.4013,42.5544,66.00,51.00,0.00,0.00,,10.00,29.92,
INL,2022-05-13 09:54,-93.3956,48.5595,52.00,51.00,110.00,6.00,,3.00,29.68,BR
TQE,2022-05-13 09:54,-96.1779,41.7635,60.00,56.00,200.00,5.00,,10.00,29.90,
SGS,2022-05-13 09:55,-93.0329,44.8571,69.00,56.30,210.00,6.00,,10.00,29.82,
ACQ,2022-05-13 09:55,-93.5529,44.0735,60.80,55.40,90.00,10.00,,,29.79,
AEL,2022-05-13 09:55,-93.3672,43.6815,62.60,51.80,150.00,6.00,,10.00,29.82,
PNM,2022-05-13 09:55,-93.6082,45.5599,64.40,60.80,140.00,7.00,14.00,10.00,29.73,-RA
IBM,2022-05-13 09:55,-103.6774,41.1881,40.30,20.80,220.00,10.00,,10.00,30.02,
AIT,2022-05-13 09:55,-93.6768,46.5484,59.00,57.20,140.00,8.00,,10.00,29.75,
AUM,2022-05-13 09:55,-92.9333,43.6647,64.40,51.80,0.00,0.00,,10.00,29.88,
GHW,2022-05-13 09:55,-95.3204,45.6439,57.20,53.60,190.00,12.00,,10.00,29.76,
HCO,2022-05-13 09:55,-96.9430,48.7527,60.80,57.20,150.00,19.00,,10.00,29.46,
ULM,2022-05-13 09:55,-94.5000,44.3200,60.80,51.80,270.00,6.00,,10.00,29.80,
HJH,2022-05-13 09:55,-97.5870,40.1523,57.70,46.60,0.00,0.00,,10.00,29.94,
ONL,2022-05-13 09:55,-98.6881,42.4697,50.40,40.30,250.00,9.00,,10.00,29.90,
JYR,2022-05-13 09:55,-97.6228,40.8967,57.20,46.40,310.00,4.00,,10.00,29.93,
BJI,2022-05-13 09:55,-94.9337,47.5094,61.20,58.60,150.00,11.00,,10.00,29.63,
COQ,2022-05-13 09:55,-92.5036,46.7011,48.20,48.20,120.00,7.00,,0.50,29.80,FG
DTL,2022-05-13 09:55,-95.8856,46.8252,59.00,51.80,190.00,18.00,24.00,10.00,29.67,
ELO,2022-05-13 09:55,-91.8371,47.8287,55.40,55.40,150.00,5.00,,10.00,29.79,
FSE,2022-05-13 09:55,-95.7735,47.5928,59.00,51.80,180.00,17.00,,10.00,29.61,
MJQ,2022-05-13 09:55,-94.9865,43.6500,60.80,51.80,230.00,7.00,,10.00,29.83,
MZH,2022-05-13 09:55,-92.8048,46.4186,53.60,51.80,0.00,0.00,,10.00,29.82,
JMR,2022-05-13 09:55,-93.2718,45.8861,59.00,59.00,180.00,6.00,,10.00,29.84,
PQN,2022-05-13 09:55,-96.3004,43.9821,55.40,48.20,240.00,7.00,,10.00,29.82,
RGK,2022-05-13 09:55,-92.4868,44.5915,71.60,53.60,250.00,5.00,,10.00,29.84,
ROX,2022-05-13 09:55,-95.6971,48.8560,59.00,57.20,120.00,11.00,,7.00,29.55,
BDH,2022-05-13 09:55,-95.1304,45.1177,62.60,55.40,190.00,4.00,,10.00,29.81,
ONA,2022-05-13 09:55,-91.7083,44.0772,73.40,59.00,280.00,6.00,,10.00,29.87,
HDE,2022-05-13 09:55,-99.3365,40.4521,51.40,39.40,340.00,5.00,,10.00,29.97,
MLE,2022-05-13 09:55,-96.1120,41.1960,62.40,57.20,0.00,0.00,,10.00,29.90,
AFK,2022-05-13 09:55,-95.8657,40.6069,61.30,57.00,240.00,8.00,,10.00,29.91,
LCG,2022-05-13 09:55,-96.9814,42.2419,58.60,43.70,250.00,8.00,,10.00,29.89,
BBB,2022-05-13 09:55,-95.6506,45.3319,59.00,51.80,230.00,11.00,,10.00,29.76,
CFE,2022-05-13 09:55,-93.8433,45.1590,64.40,59.00,0.00,0.00,,10.00,29.73,-RA
CQM,2022-05-13 09:55,-92.6894,47.8219,57.20,55.40,140.00,13.00,,10.00,29.73,
DYT,2022-05-13 09:55,-92.0434,46.7219,41.00,41.00,50.00,19.00,,10.00,29.82,
FGN,2022-05-13 09:55,-94.9028,49.3183,51.80,48.20,110.00,12.00,19.00,10.00,29.59,
GYL,2022-05-13 09:55,-94.0812,44.7560,63.50,55.60,240.00,4.00,,10.00,29.78,
GDB,2022-05-13 09:55,-95.5560,44.7533,59.50,53.60,180.00,13.00,,10.00,29.81,
LYV,2022-05-13 09:55,-96.2158,43.6212,51.80,48.20,210.00,6.00,,10.00,29.83,
DXX,2022-05-13 09:55,-96.1779,44.9864,60.80,48.20,230.00,15.00,22.00,10.00,29.79,
HZX,2022-05-13 09:55,-93.3098,46.6188,53.60,53.60,140.00,5.00,11.00,10.00,29.78,
ANE,2022-05-13 09:55,-93.2102,45.1449,69.80,60.80,200.00,7.00,,10.00,29.80,
LVN,2022-05-13 09:55,-93.2273,44.6252,66.20,53.60,180.00,3.00,,10.00,29.81,
VVV,2022-05-13 09:55,-96.4244,45.3057,57.20,50.00,210.00,6.00,,10.00,29.75,
PEX,2022-05-13 09:55,-94.7466,45.3723,60.80,57.20,200.00,7.00,,10.00,29.77,
PWC,2022-05-13 09:55,-94.3817,46.7248,60.80,57.20,190.00,8.00,,10.00,29.76,
ROS,2022-05-13 09:55,-92.9530,45.6980,60.30,59.00,190.00,3.00,,10.00,29.82,
SYN,2022-05-13 09:55,-93.0145,44.4736,66.20,57.00,0.00,0.00,,10.00,29.82,
SAZ,2022-05-13 09:55,-94.8066,46.3809,62.60,59.00,190.00,8.00,,10.00,29.73,
JYG,2022-05-13 09:55,-94.5579,43.9863,62.60,51.80,250.00,8.00,,10.00,29.79,
21D,2022-05-13 09:55,-92.8557,44.9975,68.00,55.40,210.00,7.00,,10.00,29.84,
TKC,2022-05-13 09:55,-95.6072,44.2491,62.00,47.70,210.00,13.00,16.00,10.00,29.80,
RRT,2022-05-13 09:55,-95.3483,48.9414,51.80,48.20,110.00,8.00,,10.00,29.58,
MWM,2022-05-13 09:55,-95.1094,43.9134,62.60,51.80,210.00,10.00,,10.00,29.82,
Y63,2022-05-13 09:55,-95.9920,45.9861,56.70,52.70,210.00,17.00,,10.00,29.73,
14Y,2022-05-13 09:55,-94.8739,45.8983,59.00,57.20,200.00,12.00,16.00,10.00,29.75,
OVL,2022-05-13 09:55,-95.0328,44.7786,59.00,53.60,210.00,6.00,,10.00,29.79,
9MN,2022-05-13 09:55,-92.4831,44.0198,69.00,52.00,240.00,7.00,,10.00,29.89,
D39,2022-05-13 09:55,-94.9334,45.7066,60.40,56.70,200.00,9.00,15.00,10.00,29.75,
CKN,2022-05-13 09:55,-96.6214,47.8417,57.20,,180.00,17.00,,10.00,29.54,
EVM,2022-05-13 09:55,-92.4981,47.4251,53.60,53.60,130.00,10.00,15.00,10.00,29.79,
ANW,2022-05-13 09:55,-99.9930,42.5792,48.20,38.80,210.00,9.00,,10.00,29.92,
PMV,2022-05-13 09:55,-95.9179,40.9502,61.20,56.70,270.00,4.00,,10.00,29.91,
FBL,2022-05-13 09:55,-93.3108,44.3247,66.20,55.40,130.00,6.00,,10.00,29.82,
FFM,2022-05-13 09:55,-96.1567,46.2844,55.40,51.80,190.00,11.00,,10.00,29.67,
04W,2022-05-13 09:55,-92.8952,46.0229,60.80,60.80,140.00,5.00,,10.00,29.81,
LXL,2022-05-13 09:55,-94.3469,45.9492,62.60,60.80,180.00,8.00,,10.00,29.74,-RA
JKJ,2022-05-13 09:55,-96.6640,46.8393,57.20,48.20,200.00,19.00,26.00,10.00,29.62,
VWU,2022-05-13 09:55,-94.5167,48.1539,62.60,59.00,140.00,10.00,14.00,10.00,29.62,
3N8,2022-05-13 09:55,-95.9281,47.2605,58.00,53.80,180.00,13.00,18.00,10.00,29.62,
LXN,2022-05-13 09:55,-99.7759,40.7904,44.20,39.00,190.00,5.00,,10.00,29.99,
BTN,2022-05-13 09:55,-97.7428,45.8150,51.80,46.40,200.00,23.00,,10.00,29.65,
9V9,2022-05-13 09:55,-99.3183,43.7667,45.50,42.30,190.00,9.00,,10.00,29.81,
BVN,2022-05-13 09:55,-98.0558,41.7286,53.60,43.00,300.00,7.00,,10.00,29.92,
BIE,2022-05-13 09:55,-96.7541,40.3013,58.50,56.30,0.00,0.00,,10.00,29.92,
BTA,2022-05-13 09:55,-96.1090,41.4148,60.80,55.40,190.00,3.00,,10.00,29.91,
TOB,2022-05-13 09:55,-92.8315,44.0180,62.60,53.60,220.00,5.00,,10.00,29.87,
OGA,2022-05-13 09:55,-101.7697,41.1195,45.70,35.00,0.00,0.00,,10.00,30.00,
HCD,2022-05-13 09:55,-94.3825,44.8599,62.60,58.00,230.00,5.00,,10.00,29.80,
AUH,2022-05-13 09:55,-97.9946,40.8941,54.50,46.00,260.00,7.00,,10.00,29.94,
GRN,2022-05-13 09:55,-102.1753,42.8060,44.20,37.00,260.00,14.00,,10.00,29.89,
HON,2022-05-13 09:55,-98.2286,44.3852,52.00,44.00,200.00,7.00,,10.00,,
PHP,2022-05-13 09:55,-101.6000,44.0500,48.00,40.00,270.00,10.00,,10.00,29.76,
DLH,2022-05-13 09:55,-92.1936,46.8421,49.00,49.00,120.00,12.00,,1.25,29.81,BR
FKA,2022-05-13 09:55,-92.1797,43.6767,67.00,53.00,260.00,9.00,,7.00,29.91,
AHQ,2022-05-13 09:55,-96.5946,41.2406,58.00,58.00,220.00,3.00,,10.00,29.92,
